step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,132,4,0.3716403768179953,0.0,0.0,0.34350778106334473,0.0,0.0,,,,,,
2,232,8,0.4528818333261491,0.0,0.0,,,,,,,,,
3,364,12,0.27279348646494334,0.0,0.0,,,,,,,,,
4,496,16,0.22412729982665042,0.0,0.0,,,,,,,,,
5,596,20,0.2328502105876881,0.25,0.25,,,,,,,,,
6,696,24,0.16644079828402028,0.0,0.0,,,,,,,,,
7,828,28,0.08385152923176065,0.25,0.25,,,,,,,,,
8,960,32,0.07787950848578476,0.5,0.5,,,,,,,,,
9,1092,36,0.0773183088732185,0.5,0.5,0.08103824745747261,0.5,0.5,,,,,,
10,1224,40,0.07219960450660437,0.75,0.75,,,,,,,,,
11,1324,44,0.0693920421289901,0.75,0.75,,,,,,,,,
12,1456,48,0.07308399243047461,0.75,0.75,,,,,,,,,
13,1556,52,0.0906764765487363,0.5,0.5,,,,,,,,,
14,1688,56,0.06886444641393609,0.5,0.5,,,,,,,,,
15,1788,60,0.06736312813435992,1.0,1.0,,,,,,,,,
16,1920,64,0.06428346869768575,0.5,0.5,,,,,,,,,
17,2020,68,0.09063692817619691,0.25,0.25,0.06331917893141509,1.0,1.0,,,,,,
18,2120,72,0.06127066118642687,1.0,1.0,,,,,,,,,
19,2252,76,0.054284984709229316,0.75,0.75,,,,,,,,,
20,2384,80,0.058832884345902135,0.75,0.75,,,,,,,,,
21,2516,84,0.054070708610815935,0.75,0.75,,,,,,,,,
22,2648,88,0.06355021107010543,0.5,0.5,,,,,,,,,
23,2780,92,0.04473404673393816,1.0,1.0,,,,,,,,,
24,2912,96,0.055351032678736374,0.5,0.5,,,,,,,,,
25,3044,100,0.060858288222807456,0.75,0.75,0.037129203535150736,1.0,1.0,,,,,,
26,3176,104,0.04730334702937398,1.0,1.0,,,,,,,,,
27,3276,108,0.04297500446904451,1.0,1.0,,,,,,,,,
28,3376,112,0.0333864743860128,1.0,1.0,,,,,,,,,
29,3508,116,0.06788993134978227,0.5,0.5,,,,,,,,,
30,3608,120,0.061281585020478806,0.5,0.5,,,,,,,,,
31,3708,124,0.036179509352271766,1.0,1.0,,,,,,,,,
32,3840,128,0.03955363265733467,1.0,1.0,,,,,,,,,
33,3940,132,0.05248391121063226,0.75,0.75,0.058402500330703336,0.75,0.75,,,,,,
34,4072,136,0.06283471796865343,0.5,0.5,,,,,,,,,
35,4172,140,0.06341835309712525,0.75,0.75,,,,,,,,,
36,4304,144,0.03235616655350895,1.0,1.0,,,,,,,,,
37,4436,148,0.04183931934079737,0.75,0.75,,,,,,,,,
38,4568,152,0.05287698482803536,0.75,0.75,,,,,,,,,
39,4700,156,0.04408072199159505,0.75,0.75,,,,,,,,,
40,4800,160,0.0392568775062197,1.0,1.0,,,,,,,,,
41,4932,164,0.045704884708102335,1.0,1.0,0.027968988352222366,1.0,1.0,,,,,,
42,5032,168,0.039059649276605345,1.0,1.0,,,,,,,,,
43,5132,172,0.03512409390018244,1.0,1.0,,,,,,,,,
44,5232,176,0.041249963724791686,1.0,1.0,,,,,,,,,
45,5332,180,0.06751112039501701,0.75,0.75,,,,,,,,,
46,5464,184,0.03532356823059672,1.0,1.0,,,,,,,,,
47,5564,188,0.04677935156093251,1.0,1.0,,,,,,,,,
48,5664,192,0.03344688398831446,1.0,1.0,,,,,,,,,
49,5764,196,0.06127588443108834,0.5,0.5,0.05281082505420272,0.75,0.75,,,,,,
50,5896,200,0.027471196250735377,1.0,1.0,,,,,,,,,
