step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,132,4,0.4545189001663311,0.0,0.0,0.37659852126911575,0.0,0.0,,,,,,
2,264,8,0.34612552943566693,0.0,0.0,,,,,,,,,
3,396,12,0.31285999620948135,0.0,0.0,,,,,,,,,
4,528,16,0.2766767932950097,0.0,0.0,,,,,,,,,
5,660,20,0.13391588611804764,0.0,0.0,,,,,,,,,
6,792,24,0.09410533115529687,0.5,0.5,,,,,,,,,
7,892,28,0.053375001093372704,1.0,1.0,,,,,,,,,
8,1024,32,0.057772927430924034,1.0,1.0,,,,,,,,,
9,1156,36,0.09788966882653768,0.75,0.75,0.1031034465235037,0.75,0.75,,,,,,
10,1288,40,0.09788012415345293,0.5,0.5,,,,,,,,,
11,1420,44,0.06746888417575975,0.5,0.5,,,,,,,,,
12,1520,48,0.08247337333547572,0.75,0.75,,,,,,,,,
13,1652,52,0.09365182125591673,0.0,0.0,,,,,,,,,
14,1752,56,0.08585139375335227,0.5,0.5,,,,,,,,,
15,1884,60,0.06318520623084624,0.75,0.75,,,,,,,,,
16,2016,64,0.03663245912408456,1.0,1.0,,,,,,,,,
17,2148,68,0.0607770892570261,0.75,0.75,0.20655113836750388,0.0,0.0,,,,,,
18,2280,72,0.10192013744381256,0.5,0.5,,,,,,,,,
19,2412,76,0.08831426508259028,0.5,0.5,,,,,,,,,
20,2544,80,0.06441523350542412,0.5,0.5,,,,,,,,,
21,2676,84,0.06452622670098208,0.5,0.5,,,,,,,,,
22,2808,88,0.04177860064664856,1.0,1.0,,,,,,,,,
23,2908,92,0.068606541659683,0.75,0.75,,,,,,,,,
24,3040,96,0.04432884448906407,1.0,1.0,,,,,,,,,
25,3172,100,0.05744790833210573,0.25,0.25,0.0593353629403282,0.5,0.5,,,,,,
26,3304,104,0.052816514470614494,1.0,1.0,,,,,,,,,
27,3436,108,0.059271718740928916,1.0,1.0,,,,,,,,,
28,3568,112,0.05581453153630719,0.25,0.25,,,,,,,,,
29,3700,116,0.04914093438303098,1.0,1.0,,,,,,,,,
30,3832,120,0.05977300215570721,0.5,0.5,,,,,,,,,
31,3964,124,0.05331840138183907,1.0,1.0,,,,,,,,,
32,4096,128,0.04133286203723401,1.0,1.0,,,,,,,,,
33,4228,132,0.03612975946278312,0.5,0.5,0.053604843934008384,0.5,0.5,,,,,,
34,4328,136,0.05228926651955892,0.75,0.75,,,,,,,,,
35,4428,140,0.04986505574391534,0.75,0.75,,,,,,,,,
36,4528,144,0.06676578400113309,0.25,0.25,,,,,,,,,
37,4660,148,0.04900677791942144,0.5,0.5,,,,,,,,,
38,4760,152,0.03530765583544659,1.0,1.0,,,,,,,,,
39,4892,156,0.03844889767351561,0.75,0.75,,,,,,,,,
40,5024,160,0.047612464189587624,0.75,0.75,,,,,,,,,
41,5156,164,0.05270703672402306,0.5,0.5,0.04552574218592781,0.75,0.75,,,,,,
42,5288,168,0.04163738481373003,0.75,0.75,,,,,,,,,
43,5388,172,0.04871685527837447,1.0,1.0,,,,,,,,,
44,5520,176,0.038116449252411255,1.0,1.0,,,,,,,,,
45,5652,180,0.047895301349199136,0.75,0.75,,,,,,,,,
46,5784,184,0.0372491271441686,0.75,0.75,,,,,,,,,
47,5916,188,0.033915272793092296,0.75,0.75,,,,,,,,,
48,6016,192,0.09302831185709996,0.0,0.0,,,,,,,,,
49,6148,196,0.03609003129924531,0.75,0.75,0.0864927318750415,0.5,0.5,,,,,,
50,6280,200,0.03450116285879631,1.0,1.0,,,,,,,,,
51,6412,204,0.035194254006892155,0.75,0.75,,,,,,,,,
52,6544,208,0.043835551432130165,0.75,0.75,,,,,,,,,
53,6676,212,0.06488490293442738,0.25,0.25,,,,,,,,,
54,6808,216,0.09034520172979683,0.25,0.25,,,,,,,,,
55,6908,220,0.0446433825288356,0.75,0.75,,,,,,,,,
56,7040,224,0.03804400128428825,0.75,0.75,,,,,,,,,
57,7172,228,0.033098129496502225,1.0,1.0,0.03457681419764413,1.0,1.0,,,,,,
58,7304,232,0.0344236016816285,1.0,1.0,,,,,,,,,
59,7404,236,0.041792427640757523,1.0,1.0,,,,,,,,,
60,7536,240,0.03376954022329301,1.0,1.0,,,,,,,,,
