step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,132,4,0.39362475405001535,0.0,0.0,0.33572063612460623,0.0,0.0,,,,,,
2,264,8,0.3853946158265899,0.0,0.0,,,,,,,,,
3,396,12,0.41954898533917,0.0,0.0,,,,,,,,,
4,528,16,0.27867777896972257,0.0,0.0,,,,,,,,,
5,628,20,0.3700867958497353,0.0,0.0,,,,,,,,,
6,728,24,0.2417511892435141,0.0,0.0,,,,,,,,,
7,860,28,0.11675137176702263,0.25,0.25,,,,,,,,,
8,960,32,0.07378590174329779,0.75,0.75,,,,,,,,,
9,1092,36,0.07452498718863353,0.5,0.5,0.0885758072778117,0.5,0.5,,,,,,
10,1224,40,0.08063974468997911,0.75,0.75,,,,,,,,,
11,1324,44,0.07030246735162413,1.0,1.0,,,,,,,,,
12,1456,48,0.0719309347635135,0.5,0.5,,,,,,,,,
13,1588,52,0.059556642386596644,1.0,1.0,,,,,,,,,
14,1688,56,0.05728841882276659,0.75,0.75,,,,,,,,,
15,1820,60,0.10429036889690906,0.25,0.25,,,,,,,,,
16,1952,64,0.04388120516436174,0.75,0.75,,,,,,,,,
17,2052,68,0.05780695337802172,1.0,1.0,0.06922705655296643,0.75,0.75,,,,,,
18,2152,72,0.07213148121411601,1.0,1.0,,,,,,,,,
19,2252,76,0.059772618231363615,0.75,0.75,,,,,,,,,
20,2384,80,0.04864876416046172,0.75,0.75,,,,,,,,,
21,2484,84,0.08009733821731062,0.5,0.5,,,,,,,,,
22,2616,88,0.057709502817597236,0.75,0.75,,,,,,,,,
23,2716,92,0.051268467355209096,0.75,0.75,,,,,,,,,
24,2816,96,0.04999149236051986,1.0,1.0,,,,,,,,,
25,2916,100,0.03679612531171491,1.0,1.0,0.10720450456021353,0.5,0.5,,,,,,
26,3048,104,0.07988503201544518,0.5,0.5,,,,,,,,,
27,3180,108,0.036458708081627274,0.75,0.75,,,,,,,,,
28,3312,112,0.05827602293720702,0.25,0.25,,,,,,,,,
29,3444,116,0.03979734677021043,1.0,1.0,,,,,,,,,
30,3576,120,0.05738256100172293,0.5,0.5,,,,,,,,,
31,3708,124,0.03438503076817142,1.0,1.0,,,,,,,,,
32,3840,128,0.038126596409274495,1.0,1.0,,,,,,,,,
33,3940,132,0.04470629099155,1.0,1.0,0.02913193051101795,1.0,1.0,,,,,,
34,4040,136,0.05290128610446118,1.0,1.0,,,,,,,,,
35,4172,140,0.05464542557005189,0.5,0.5,,,,,,,,,
36,4304,144,0.045226921507273796,0.75,0.75,,,,,,,,,
37,4436,148,0.031510787343140695,1.0,1.0,,,,,,,,,
38,4568,152,0.054604550767980986,0.5,0.5,,,,,,,,,
39,4700,156,0.0507492283260217,0.5,0.5,,,,,,,,,
40,4800,160,0.04567921673490977,1.0,1.0,,,,,,,,,
