step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,132,4,0.3465862663875669,0.0,0.0,0.24850203356079875,0.0,0.0,,,,,,
2,264,8,0.3387972571899445,0.0,0.0,,,,,,,,,
3,396,12,0.2558306714970967,0.0,0.0,,,,,,,,,
4,528,16,0.18956416940724014,0.0,0.0,,,,,,,,,
5,660,20,0.11113235910073854,0.5,0.5,,,,,,,,,
6,760,24,0.09687919493066148,0.75,0.75,,,,,,,,,
7,892,28,0.06403706343029625,0.75,0.75,,,,,,,,,
8,992,32,0.10420914382984241,0.5,0.5,,,,,,,,,
9,1124,36,0.06895579066127538,0.5,0.5,0.10107921495723227,0.5,0.5,,,,,,
10,1256,40,0.07414072588318958,0.5,0.5,,,,,,,,,
11,1388,44,0.061201164921512834,0.75,0.75,,,,,,,,,
12,1520,48,0.07753613581648096,0.25,0.25,,,,,,,,,
13,1620,52,0.07460818308095138,0.75,0.75,,,,,,,,,
14,1752,56,0.07187237305101007,0.5,0.5,,,,,,,,,
15,1852,60,0.07940917284848789,1.0,1.0,,,,,,,,,
16,1984,64,0.07532763299532234,0.25,0.25,,,,,,,,,
17,2116,68,0.06344531356357037,1.0,1.0,0.06673418233403935,0.5,0.5,,,,,,
18,2248,72,0.08759980940492823,0.25,0.25,,,,,,,,,
19,2380,76,0.053546277526766065,0.75,0.75,,,,,,,,,
20,2512,80,0.058114203622099014,0.75,0.75,,,,,,,,,
21,2644,84,0.06114250287762844,0.75,0.75,,,,,,,,,
22,2776,88,0.06828360650339164,0.25,0.25,,,,,,,,,
23,2908,92,0.06860894168494268,0.5,0.5,,,,,,,,,
24,3040,96,0.06266327511519193,0.5,0.5,,,,,,,,,
25,3172,100,0.04873285456822486,0.75,0.75,0.0761898404668318,0.5,0.5,,,,,,
26,3304,104,0.060847474332840656,0.5,0.5,,,,,,,,,
27,3436,108,0.0709098511270713,0.25,0.25,,,,,,,,,
28,3568,112,0.05734642680065008,0.75,0.75,,,,,,,,,
29,3700,116,0.06252018888044403,0.5,0.5,,,,,,,,,
30,3800,120,0.07743993541575037,0.5,0.5,,,,,,,,,
31,3900,124,0.05201317683871215,0.75,0.75,,,,,,,,,
32,4032,128,0.05246399633673718,0.5,0.5,,,,,,,,,
33,4132,132,0.04996104181162081,1.0,1.0,0.054973696433298753,0.5,0.5,,,,,,
34,4264,136,0.052028234577737746,0.5,0.5,,,,,,,,,
35,4396,140,0.05453727845248068,0.5,0.5,,,,,,,,,
36,4528,144,0.034558538648416286,1.0,1.0,,,,,,,,,
37,4628,148,0.045292510887763156,1.0,1.0,,,,,,,,,
38,4760,152,0.042984579268668305,0.75,0.75,,,,,,,,,
39,4892,156,0.03887270938444999,0.75,0.75,,,,,,,,,
40,5024,160,0.04508280720037875,0.5,0.5,,,,,,,,,
41,5124,164,0.05479882790144377,0.75,0.75,0.04727431863662786,0.75,0.75,,,,,,
42,5224,168,0.051901632552811265,1.0,1.0,,,,,,,,,
43,5356,172,0.05249550039647148,0.5,0.5,,,,,,,,,
44,5488,176,0.08007823851192371,0.25,0.25,,,,,,,,,
45,5588,180,0.0362380989594385,1.0,1.0,,,,,,,,,
46,5720,184,0.04984130870929221,0.75,0.75,,,,,,,,,
47,5852,188,0.04586137756545213,0.75,0.75,,,,,,,,,
48,5984,192,0.044949172199267196,0.5,0.5,,,,,,,,,
49,6116,196,0.059961109214164025,0.5,0.5,0.0494091383383784,0.25,0.25,,,,,,
50,6248,200,0.0350142151133332,0.75,0.75,,,,,,,,,
51,6380,204,0.03594877740419179,1.0,1.0,,,,,,,,,
52,6512,208,0.04182500933224219,1.0,1.0,,,,,,,,,
53,6644,212,0.053271109174602316,0.25,0.25,,,,,,,,,
54,6776,216,0.04051657070718647,0.75,0.75,,,,,,,,,
55,6908,220,0.05303245819599396,0.25,0.25,,,,,,,,,
56,7040,224,0.04727142031959374,0.5,0.5,,,,,,,,,
57,7172,228,0.04204468240033748,0.75,0.75,0.030485927761692438,0.75,0.75,,,,,,
58,7272,232,0.0355825338337066,0.75,0.75,,,,,,,,,
59,7404,236,0.03708817156133591,0.75,0.75,,,,,,,,,
60,7536,240,0.04625945170449995,0.5,0.5,,,,,,,,,
61,7636,244,0.05134197372196164,1.0,1.0,,,,,,,,,
62,7736,248,0.04149186062791463,0.75,0.75,,,,,,,,,
63,7868,252,0.032283249873580645,0.75,0.75,,,,,,,,,
64,7968,256,0.05323399535520973,0.75,0.75,,,,,,,,,
